1111.baidu.com	180.97.93.38
b.x.baidu.com	180.97.34.152
backup.media.baidu.com	180.149.131.88, 220.181.163.54
backup.my.baidu.com	180.149.144.203
bata.my.baidu.com	180.149.144.203
bbs.g.baidu.com	180.76.146.58
bbs.ivr.baidu.com	180.97.93.58
bbs.media.baidu.com	180.149.131.88, 220.181.163.54
bbs.my.baidu.com	180.149.144.203
bbs.pc.baidu.com	180.97.66.48
bbs.t.baidu.com	123.125.65.186
bbs.zhanzhang.baidu.com	220.181.7.186
beta.media.baidu.com	180.149.131.88, 220.181.163.54
beta.my.baidu.com	180.149.144.203
beta.zhidao.baidu.com	180.149.132.173
blog.media.baidu.com	180.149.131.88, 220.181.163.54
blog.my.baidu.com	180.149.144.203
boss.media.baidu.com	180.149.131.88, 220.181.163.54
boss.my.baidu.com	180.149.144.203
bug.media.baidu.com	180.149.131.88, 220.181.163.54
bugs.media.baidu.com	180.149.131.88, 220.181.163.54
bugs.my.baidu.com	180.149.144.203
bugzilla.my.baidu.com	180.149.144.203
c.cj.baidu.com	115.239.211.125
c.media.baidu.com	180.149.131.88, 220.181.163.54
c.my.baidu.com	180.149.144.203
c.pcs.baidu.com	180.97.36.26
c.ssp.baidu.com	180.149.132.238
c.x.baidu.com	115.239.210.126
cache.media.baidu.com	180.149.131.88, 220.181.163.54
cache.my.baidu.com	180.149.144.203
cas.media.baidu.com	180.149.131.88, 220.181.163.54
cas.my.baidu.com	180.149.144.203
ceshi.media.baidu.com	180.149.131.88, 220.181.163.54
ceshi.my.baidu.com	180.149.144.203
cms.media.baidu.com	180.149.131.88, 220.181.163.54
connect.media.baidu.com	180.149.131.88, 220.181.163.54
connect.my.baidu.com	180.149.144.203
console.media.baidu.com	180.149.131.88, 220.181.163.54
console.my.baidu.com	180.149.144.203
control.media.baidu.com	180.149.131.88, 220.181.163.54
control.my.baidu.com	180.149.144.203
count.gongyi.baidu.com	180.149.131.33
count.media.baidu.com	180.149.131.88, 220.181.163.54
count.my.baidu.com	180.149.144.203
counter.media.baidu.com	180.149.131.88, 220.181.163.54
counter.my.baidu.com	180.149.144.203
cp.mcp.baidu.com	14.215.177.67
cp.media.baidu.com	180.149.131.88, 220.181.163.54
cp.my.baidu.com	180.149.144.203
crm.media.baidu.com	180.149.131.88, 220.181.163.54
crm.my.baidu.com	180.149.144.203
crm.t.baidu.com	220.181.163.82
css.media.baidu.com	180.149.131.88, 220.181.163.54
css.my.baidu.com	180.149.144.203
d.0.baidu.com	180.97.64.46
d.lvyou.baidu.com	220.181.172.34, 220.181.172.35, 220.181.175.14, 220.181.175.16
d.m.baidu.com	180.76.167.97
d.media.baidu.com	180.149.131.88, 220.181.163.54
d.my.baidu.com	180.149.144.203
d.pcs.baidu.com	220.181.7.165
d.update.baidu.com	180.97.33.34
d.x.baidu.com	115.239.210.172
data.do.baidu.com	100.64.1.93
data.media.baidu.com	180.149.131.88, 220.181.163.54
data.my.baidu.com	180.149.144.203
database.media.baidu.com	180.149.131.88, 220.181.163.54
database.my.baidu.com	180.149.144.203
db.media.baidu.com	180.149.131.88, 220.181.163.54
db.my.baidu.com	180.149.144.203
demo.my.baidu.com	180.149.144.203
dev.app.baidu.com	180.149.132.167
dev.media.baidu.com	180.149.131.88, 220.181.163.54
dev.my.baidu.com	180.149.144.203
dev.open.baidu.com	115.239.210.27, 115.239.211.112
dev1.media.baidu.com	180.149.131.88, 220.181.163.54
dev1.my.baidu.com	180.149.144.203
dl.image.baidu.com	180.149.131.33
dl.m.baidu.com	180.76.165.77
dl.media.baidu.com	180.149.131.88, 220.181.163.54
dl.my.baidu.com	180.149.144.203
dl.safe.baidu.com	1.81.3.35, 113.96.128.35, 113.96.158.35, 113.96.30.35, 118.123.210.35, 183.66.101.35, 222.84.182.35
dl.sg.baidu.com	115.239.211.97, 115.239.217.14
dl.update.baidu.com	180.97.33.34
dl.video.baidu.com	180.149.131.33
docs.media.baidu.com	180.149.131.88, 220.181.163.54
docs.my.baidu.com	180.149.144.203
down.media.baidu.com	180.149.131.88, 220.181.163.54
down.my.baidu.com	180.149.144.203
download.antivirus.baidu.com	103.235.47.30
download.media.baidu.com	180.149.131.88, 220.181.163.54
download.my.baidu.com	180.149.144.203
download.sd.baidu.com	103.235.47.30
download.spark.baidu.com	103.235.46.42
download.xi.baidu.com	106.39.162.80
downloads.my.baidu.com	180.149.144.203
e.app.baidu.com	180.149.131.33
e.m.baidu.com	180.76.138.9
e.media.baidu.com	180.149.131.88, 220.181.163.54
edit.media.baidu.com	180.149.131.88, 220.181.163.54
edit.my.baidu.com	180.149.144.203
edm.my.baidu.com	180.149.144.203
en.media.baidu.com	180.149.131.88, 220.181.163.54
en.my.baidu.com	180.149.144.203
erp.media.baidu.com	180.149.131.88, 220.181.163.54
erp.my.baidu.com	180.149.144.203
exchange.media.baidu.com	180.149.131.88, 220.181.163.54
exchange.my.baidu.com	180.149.144.203
feedback.media.baidu.com	180.149.131.88, 220.181.163.54
files.my.baidu.com	180.149.144.203
forum.antivirus.baidu.com	103.235.46.69
forum.media.baidu.com	180.149.131.88, 220.181.163.54
forum.my.baidu.com	180.149.144.203
forum.sd.baidu.com	103.235.46.69
ftp.media.baidu.com	180.149.131.88, 220.181.163.54
ftp.my.baidu.com	180.149.144.203
gateway.media.baidu.com	180.149.131.88, 220.181.163.54
gateway.my.baidu.com	180.149.144.203
git.media.baidu.com	180.149.131.88, 220.181.163.54
git.my.baidu.com	180.149.144.203
gm.media.baidu.com	180.149.131.88, 220.181.163.54
gm.my.baidu.com	180.149.144.203
go.media.baidu.com	180.149.131.88, 220.181.163.54
go.my.baidu.com	180.149.144.203
help.media.baidu.com	180.149.131.88, 220.181.163.54
help.my.baidu.com	180.149.144.203
home.media.baidu.com	180.149.131.88, 220.181.163.54
home.my.baidu.com	180.149.144.203
ht.media.baidu.com	180.149.131.88, 220.181.163.54
ht.my.baidu.com	180.149.144.203
i.hi.baidu.com	180.149.132.155
i.media.baidu.com	180.149.131.88, 220.181.163.54
i.my.baidu.com	180.149.144.203
i.oscar.baidu.com	180.97.104.144
i.top.baidu.com	115.239.210.27, 115.239.211.112
id.media.baidu.com	180.149.131.88, 220.181.163.54
id.my.baidu.com	180.149.144.203
image.media.baidu.com	180.149.131.88, 220.181.163.54
image.news.baidu.com	115.239.210.174, 180.97.33.136
imap.media.baidu.com	180.149.131.88, 220.181.163.54
imap.my.baidu.com	180.149.144.203
img.im.baidu.com	58.217.200.137
img.live.baidu.com	58.215.118.48
img.media.baidu.com	180.149.131.88, 220.181.163.54
img.my.baidu.com	180.149.144.203
img01.media.baidu.com	180.149.131.88, 220.181.163.54
img01.my.baidu.com	180.149.144.203
img02.media.baidu.com	180.149.131.88, 220.181.163.54
img02.my.baidu.com	180.149.144.203
img03.media.baidu.com	180.149.131.88, 220.181.163.54
img03.my.baidu.com	180.149.144.203
img04.media.baidu.com	180.149.131.88, 220.181.163.54
img04.my.baidu.com	180.149.144.203
it.media.baidu.com	180.149.131.88, 220.181.163.54
jira.media.baidu.com	180.149.131.88, 220.181.163.54
jira.my.baidu.com	180.149.144.203
js.media.baidu.com	180.149.131.88, 220.181.163.54
js.my.baidu.com	180.149.144.203
lab.media.baidu.com	180.149.131.88, 220.181.163.54
lab.my.baidu.com	180.149.144.203
ldap.media.baidu.com	180.149.131.88, 220.181.163.54
ldap.my.baidu.com	180.149.144.203
lib.media.baidu.com	180.149.131.88, 220.181.163.54
lib.my.baidu.com	180.149.144.203
library.media.baidu.com	180.149.131.88, 220.181.163.54
library.my.baidu.com	180.149.144.203
list.image.baidu.com	115.239.210.36, 180.97.33.134
list.media.baidu.com	180.149.131.88, 220.181.163.54
list.mp3.baidu.com	182.61.35.21
list.my.baidu.com	180.149.144.203
list.video.baidu.com	115.239.210.38
live.hao123.baidu.com	115.239.217.167
live.media.baidu.com	180.149.131.88, 220.181.163.54
live.p2p.baidu.com	220.181.111.189
live.video.baidu.com	183.134.12.74, 202.105.233.161
log.book.baidu.com	111.13.108.102, 118.26.21.70
log.hm.baidu.com	106.120.159.234
log.im.baidu.com	106.120.159.182
log.map.baidu.com	115.239.210.198
log.music.baidu.com	180.76.182.240
log.news.baidu.com	115.239.210.174, 180.97.33.136
log.su.baidu.com	180.97.36.60
log.v.baidu.com	61.135.162.36
log.xi.baidu.com	180.97.104.45
login.my.baidu.com	180.149.144.203
m.box.baidu.com	182.61.35.21
m.di.baidu.com	106.39.162.212
m.gongyi.baidu.com	117.185.16.208, 180.149.144.134, 202.106.2.76
m.help.baidu.com	112.34.111.18, 112.34.111.183, 112.80.255.39, 112.80.255.43, 117.185.16.15, 117.185.16.213, 117.185.16.230, 119.75.219.60, 180.149.131.88, 180.149.144.165, 180.149.144.166, 180.97.33.42, 180.97.36.81, 202.106.2.77, 202.106.2.78, 220.181.163.54
m.hi.baidu.com	180.149.132.155
m.media.baidu.com	180.149.131.88, 220.181.163.54
m.my.baidu.com	180.149.144.203
m.news.baidu.com	115.239.210.174, 180.97.33.136
m.print.baidu.com	182.61.62.50
m.shouji.baidu.com	115.239.211.220, 115.239.211.221
m.site.baidu.com	115.239.217.129
m.v.baidu.com	180.149.144.1
m.video.baidu.com	115.239.210.48
m.verify.baidu.com	180.149.131.17
m.vip.baidu.com	180.97.34.226
mail.media.baidu.com	180.149.131.88, 220.181.163.54
mail.my.baidu.com	180.149.144.203
manage.media.baidu.com	180.149.131.88, 220.181.163.54
manage.my.baidu.com	180.149.144.203
manager.media.baidu.com	180.149.131.88, 220.181.163.54
manager.my.baidu.com	180.149.144.203
master.media.baidu.com	180.149.131.88, 220.181.163.54
master.my.baidu.com	180.149.144.203
mgr.my.baidu.com	180.149.144.203
monitor.media.baidu.com	180.149.131.88, 220.181.163.54
monitor.my.baidu.com	180.149.144.203
mysql.media.baidu.com	180.149.131.88, 220.181.163.54
nagios.media.baidu.com	180.149.131.88, 220.181.163.54
nagios.my.baidu.com	180.149.144.203
new.my.baidu.com	180.149.144.203
oa.my.baidu.com	180.149.144.203
old.media.baidu.com	180.149.131.88, 220.181.163.54
old.my.baidu.com	180.149.144.203
passport.hk.baidu.com	103.235.46.89
passport.my.baidu.com	180.149.144.203
phpmyadmin.media.baidu.com	180.149.131.88, 220.181.163.54
phpmyadmin.my.baidu.com	180.149.144.203
pic.media.baidu.com	180.149.131.88, 220.181.163.54
pic.my.baidu.com	180.149.144.203
pma.media.baidu.com	180.149.131.88, 220.181.163.54
pma.my.baidu.com	180.149.144.203
pop.media.baidu.com	180.149.131.88, 220.181.163.54
pop.my.baidu.com	180.149.144.203
portal.media.baidu.com	180.149.131.88, 220.181.163.54
portal.my.baidu.com	180.149.144.203
preview.my.baidu.com	180.149.144.203
profile.media.baidu.com	180.149.131.88, 220.181.163.54
profile.my.baidu.com	180.149.144.203
proxy.media.baidu.com	180.149.131.88, 220.181.163.54
proxy.my.baidu.com	180.149.144.203
res.download.baidu.com	220.181.32.104
res.mi.baidu.com	58.215.118.48
res.my.baidu.com	180.149.144.203
s.e.baidu.com	1.81.3.35, 113.96.128.35, 113.96.158.35, 113.96.30.35, 118.180.62.35, 123.52.189.35, 150.138.250.35
s.m.baidu.com	115.239.217.121
s.map.baidu.com	115.239.211.183
s.media.baidu.com	180.149.131.88, 220.181.163.54
s.my.baidu.com	180.149.144.203
s.tv.baidu.com	180.149.144.48
s.x.baidu.com	115.239.210.144, 115.239.210.82
s1.map.baidu.com	180.97.33.128, 180.97.34.157
s1.media.baidu.com	180.149.131.88, 220.181.163.54
s1.my.baidu.com	180.149.144.203
s2.map.baidu.com	180.97.33.128, 180.97.34.157
s2.media.baidu.com	180.149.131.88, 220.181.163.54
s2.my.baidu.com	180.149.144.203
s3.map.baidu.com	180.97.33.128, 180.97.34.157
s3.media.baidu.com	180.149.131.88, 220.181.163.54
s3.my.baidu.com	180.149.144.203
sandbox.media.baidu.com	180.149.131.88, 220.181.163.54
sandbox.my.baidu.com	180.149.144.203
sandbox.print.baidu.com	180.149.131.33
scanner.media.baidu.com	180.149.131.88, 220.181.163.54
scanner.my.baidu.com	180.149.144.203
search.im.baidu.com	106.120.159.182, 14.215.177.34, 180.149.131.103
search.media.baidu.com	180.149.131.88, 220.181.163.54
search.my.baidu.com	180.149.144.203
service.law.baidu.com	220.181.163.8, 61.135.162.7
service.media.baidu.com	180.149.131.88, 220.181.163.54
service.my.baidu.com	180.149.144.203
share.im.baidu.com	106.120.159.182, 14.215.177.34, 180.149.131.103
share.media.baidu.com	180.149.131.88, 220.181.163.54
share.my.baidu.com	180.149.144.203
share.news.baidu.com	180.97.104.214
sms.media.baidu.com	180.149.131.88, 220.181.163.54
sms.my.baidu.com	180.149.144.203
so.my.baidu.com	180.149.144.203
sql.media.baidu.com	180.149.131.88, 220.181.163.54
sql.my.baidu.com	180.149.144.203
ssh.media.baidu.com	180.149.131.88, 220.181.163.54
sslvpn.media.baidu.com	180.149.131.88, 220.181.163.54
sslvpn.my.baidu.com	180.149.144.203
sso.media.baidu.com	180.149.131.88, 220.181.163.54
sso.my.baidu.com	180.149.144.203
sso.oms.baidu.com	106.39.162.109
staff.media.baidu.com	180.149.131.88, 220.181.163.54
staff.my.baidu.com	180.149.144.203
stat.media.baidu.com	180.149.131.88, 220.181.163.54
stat.my.baidu.com	180.149.144.203
stat.v.baidu.com	180.97.33.34, 180.97.33.41
static.cas.baidu.com	220.181.57.156
static.hi.baidu.com	180.97.64.49
static.home.baidu.com	58.215.118.48
static.im.baidu.com	180.97.104.217
static.jingyan.baidu.com	180.149.131.73
static.mcp.baidu.com	180.149.131.73
static.media.baidu.com	180.149.131.88, 220.181.163.54
static.my.baidu.com	180.149.144.203
static.open.baidu.com	220.181.163.63
static.pan.baidu.com	220.181.111.241
static.safe.baidu.com	180.97.64.46
static.store.baidu.com	180.97.64.48
static.su.baidu.com	58.211.137.1
static.wenku.baidu.com	180.149.131.153, 180.149.131.40, 180.149.133.163
static.x.baidu.com	180.149.131.73
static.zhidao.baidu.com	180.149.131.73
static.zt.baidu.com	180.149.131.73
stats.media.baidu.com	180.149.131.88, 220.181.163.54
stats.my.baidu.com	180.149.144.203
status.media.baidu.com	180.149.131.88, 220.181.163.54
status.my.baidu.com	180.149.144.203
stmp.media.baidu.com	180.149.131.88, 220.181.163.54
stmp.my.baidu.com	180.149.144.203
survey.media.baidu.com	180.149.131.88, 220.181.163.54
survey.my.baidu.com	180.149.144.203
svn.media.baidu.com	180.149.131.88, 220.181.163.54
svn.my.baidu.com	180.149.144.203
sys.media.baidu.com	180.149.131.88, 220.181.163.54
sys.my.baidu.com	180.149.144.203
system.media.baidu.com	180.149.131.88, 220.181.163.54
system.my.baidu.com	180.149.144.203
t.m.baidu.com	180.149.131.33
t.media.baidu.com	180.149.131.88, 220.181.163.54
t.my.baidu.com	180.149.144.203
t.x.baidu.com	115.239.210.144, 115.239.210.82
test.app.baidu.com	115.239.217.112
test.m.baidu.com	123.125.115.190
test.media.baidu.com	180.149.131.88, 220.181.163.54
test.my.baidu.com	180.149.144.203
test.tuan.baidu.com	180.97.34.232
test2.ceres.baidu.com	183.131.62.41
test2.media.baidu.com	180.149.131.88, 220.181.163.54
test2.my.baidu.com	180.149.144.203
tool.media.baidu.com	180.149.131.88, 220.181.163.54
tool.my.baidu.com	180.149.144.203
toolbox.media.baidu.com	180.149.131.88, 220.181.163.54
union.my.baidu.com	180.149.144.203
union.media.baidu.com	180.149.131.88, 220.181.163.54
union.shouji.baidu.com	180.149.132.130
update.media.baidu.com	180.149.131.88, 220.181.163.54
update.music.baidu.com	180.76.153.115, 180.76.172.57, 180.76.186.87, 180.76.189.122
update.my.baidu.com	180.149.144.203
update.spark.baidu.com	103.235.46.43
updates.media.baidu.com	180.149.131.88, 220.181.163.54
updates.my.baidu.com	180.149.144.203
upgrade.media.baidu.com	180.149.131.88, 220.181.163.54
upload.hi.baidu.com	180.149.132.155
upload.media.baidu.com	180.149.131.88, 220.181.163.54
upload.my.baidu.com	180.149.144.203
user.media.baidu.com	180.149.131.88, 220.181.163.54
user.my.baidu.com	180.149.144.203
vip.hi.baidu.com	180.149.132.155
vip.m.baidu.com	180.149.133.152, 180.149.145.96
vip.media.baidu.com	180.149.131.88, 220.181.163.54
vip.yun.baidu.com	180.149.131.206, 220.181.163.156
vote.im.baidu.com	106.120.159.182, 180.149.131.103
vote.media.baidu.com	180.149.131.88, 220.181.163.54
vote.my.baidu.com	180.149.144.203
vpn.media.baidu.com	180.149.131.88, 220.181.163.54
vpn.my.baidu.com	180.149.144.203
w.media.baidu.com	180.149.131.88, 220.181.163.54
w.my.baidu.com	180.149.144.203
w.x.baidu.com	180.97.33.121
wap.k.baidu.com	202.108.23.47
wap.map.baidu.com	115.239.210.237
wap.media.baidu.com	180.149.131.88, 220.181.163.54
wap.my.baidu.com	180.149.144.203
web.campus.baidu.com	180.76.164.236
web.media.baidu.com	180.149.131.88, 220.181.163.54
webht.media.baidu.com	180.149.131.88, 220.181.163.54
webht.my.baidu.com	180.149.144.203
wechat.media.baidu.com	180.149.131.88, 220.181.163.54
wechat.my.baidu.com	180.149.144.203
wei.media.baidu.com	180.149.131.88, 220.181.163.54
wei.my.baidu.com	180.149.144.203
weixin.media.baidu.com	180.149.131.88, 220.181.163.54
wiki.media.baidu.com	180.149.131.88, 220.181.163.54
www.8.baidu.com	180.149.133.221
www.hi.baidu.com	180.149.131.33
www.image.baidu.com	180.149.131.33
www.love.baidu.com	180.149.131.33
www.m.baidu.com	115.239.210.38
www.map.baidu.com	180.149.131.33
www.media.baidu.com	180.149.131.88, 220.181.163.54
www.mp3.baidu.com	180.149.131.33
www.news.baidu.com	180.149.131.33
www.post.baidu.com	180.149.131.33
www.top.baidu.com	180.149.131.33
www.v.baidu.com	115.239.210.38
www.video.baidu.com	115.239.210.38
www.yule.baidu.com	180.149.131.33
www.zhidao.baidu.com	180.149.131.33
wx.media.baidu.com	180.149.131.88, 220.181.163.54
wx.my.baidu.com	180.149.144.203
xml.media.baidu.com	180.149.131.88, 220.181.163.54
xml.my.baidu.com	180.149.144.203
zabbix.media.baidu.com	180.149.131.88, 220.181.163.54
zabbix.my.baidu.com	180.149.144.203
zhidao.my.baidu.com	180.149.144.203
zimbra.my.baidu.com	180.149.144.203
zip.media.baidu.com	180.149.131.88, 220.181.163.54
zip.my.baidu.com	180.149.144.203
